date,high_temp_f,low_temp_f,precipitation_inches,wind_speed_mph,conditions
2025-02-01,37,16,0.0,18,Partly Cloudy
2025-02-02,52,21,0.0,8,Sunny
2025-02-03,57,35,0.0,6,Partly Cloudy
2025-02-04,52,32,0.01,7,Overcast
2025-02-05,50,26,0.0,10,Sunny
2025-02-06,60,30,0.0,5,Sunny
2025-02-07,55,28,0.0,8,Partly Cloudy
2025-02-08,56,36,0.0,6,Partly Cloudy
2025-02-09,61,41,0.02,9,Overcast
2025-02-10,63,50,0.15,12,Rainy
2025-02-11,66,55,0.45,14,Rainy
2025-02-12,64,43,0.08,10,Overcast
2025-02-13,57,41,0.0,7,Partly Cloudy
2025-02-14,59,41,0.0,6,Sunny
2025-02-15,50,34,0.0,12,Sunny
2025-02-16,48,28,0.0,8,Sunny
2025-02-17,48,30,0.0,7,Partly Cloudy
2025-02-18,50,30,0.0,5,Sunny
2025-02-19,55,32,0.0,6,Sunny
2025-02-20,62,38,0.0,8,Partly Cloudy
2025-02-21,68,45,0.1,10,Rain Showers
2025-02-22,65,48,0.35,15,Rainy
2025-02-23,58,42,0.05,12,Overcast
2025-02-24,55,38,0.0,9,Partly Cloudy
2025-02-25,60,40,0.0,7,Sunny
2025-02-26,64,44,0.0,6,Sunny
2025-02-27,67,46,0.0,8,Sunny
2025-02-28,70,48,0.0,5,Sunny
2025-03-01,72,50,0.0,7,Sunny
2025-03-02,68,52,0.12,10,Rain Showers
2025-03-03,62,45,0.0,8,Partly Cloudy
2025-03-04,58,40,0.0,12,Sunny
2025-03-05,55,38,0.0,9,Sunny
2025-03-06,60,42,0.2,11,Rainy
2025-03-07,65,44,0.0,7,Partly Cloudy
2025-03-08,68,48,0.0,6,Sunny
2025-03-09,64,50,0.08,9,Overcast
2025-03-10,70,52,0.0,5,Sunny
