date,high_temp_f,low_temp_f,precip_chance_pct,wind_speed_mph,conditions
2026-02-11,60.5,45.4,21,9.3,Partly Cloudy
2026-02-12,65.9,49.1,16,9.0,Partly Cloudy
2026-02-13,48.4,39.1,21,5.0,Partly Cloudy
2026-02-14,65.3,45.1,44,3.4,Overcast
2026-02-15,59.9,43.6,14,7.9,Sunny
2026-02-16,52.7,49.3,7,2.7,Sunny
2026-02-17,59.0,49.0,1,7.5,Sunny
2026-02-18,56.5,40.1,28,4.5,Partly Cloudy
2026-02-19,59.6,44.5,1,11.6,Sunny
2026-02-20,53.8,44.8,23,3.6,Partly Cloudy
2026-02-21,52.0,49.3,60,7.7,Overcast
2026-02-22,59.8,52.2,6,4.3,Sunny
2026-02-23,58.4,44.8,53,13.9,Overcast
2026-02-24,55.4,42.8,16,12.6,Partly Cloudy
2026-02-25,55.4,48.1,16,8.7,Partly Cloudy
2026-02-26,54.5,44.7,2,6.8,Sunny
2026-02-27,58.0,45.1,10,7.4,Sunny
2026-02-28,60.0,53.5,5,0.3,Sunny
2026-03-01,64.9,52.2,0,7.2,Sunny
2026-03-02,66.5,51.9,8,3.4,Sunny
2026-03-03,69.0,48.4,4,13.6,Sunny
2026-03-04,60.0,49.7,0,11.5,Sunny
2026-03-05,57.2,52.3,10,4.3,Sunny
2026-03-06,61.1,50.7,54,1.6,Overcast
2026-03-07,65.9,53.0,4,10.1,Sunny
2026-03-08,66.5,53.0,11,9.2,Sunny
2026-03-09,61.4,59.5,27,4.2,Partly Cloudy
2026-03-10,70.8,48.7,37,7.0,Overcast
