date,high_temp_f,low_temp_f,precipitation_inches,precip_chance_pct,wind_speed_mph,conditions
2024-01-01,55.5,32.3,0.0,10,9.8,Partly Cloudy
2024-01-02,50.4,22.9,0.32,64,9.0,Rain Showers
2024-01-03,52.6,32.2,0.0,14,10.6,Sunny
2024-01-04,49.0,30.9,0.18,36,8.3,Rain Showers
2024-01-05,47.6,36.0,0.0,4,10.9,Partly Cloudy
2024-01-06,48.4,31.5,0.0,9,10.4,Partly Cloudy
2024-01-07,47.8,31.5,0.0,14,10.5,Sunny
2024-01-08,44.6,31.1,0.42,84,7.0,Rain Showers
2024-01-09,42.4,31.2,0.0,9,10.0,Sunny
2024-01-10,60.4,34.1,0.0,6,13.1,Sunny
2024-01-11,56.0,33.1,0.0,8,17.5,Partly Cloudy
2024-01-12,59.5,34.7,0.49,95,5.2,Rain Showers
2024-01-13,47.3,36.1,0.51,95,13.6,Rainy
2024-01-14,58.5,28.8,0.0,1,9.6,Partly Cloudy
2024-01-15,50.3,29.2,0.0,2,5.8,Partly Cloudy
2024-01-16,56.5,27.8,0.0,9,10.3,Overcast
2024-01-17,46.5,28.8,0.37,74,10.0,Rain Showers
2024-01-18,45.2,33.8,0.0,3,10.2,Partly Cloudy
2024-01-19,50.5,34.8,0.0,1,8.1,Overcast
2024-01-20,48.5,25.7,0.18,36,13.2,Rain Showers
2024-01-21,49.1,26.0,0.0,13,9.5,Sunny
2024-01-22,46.0,31.7,0.0,8,9.4,Overcast
2024-01-23,45.9,30.5,0.0,7,7.2,Partly Cloudy
2024-01-24,58.4,32.2,0.0,0,11.7,Partly Cloudy
2024-01-25,51.9,32.9,0.36,72,8.2,Rain Showers
2024-01-26,55.2,32.7,0.13,26,11.5,Rain Showers
2024-01-27,62.0,38.3,0.0,6,17.0,Sunny
2024-01-28,60.6,29.1,0.0,3,12.8,Sunny
2024-01-29,51.7,34.1,0.0,12,10.6,Overcast
2024-01-30,43.6,30.9,0.37,74,13.1,Rain Showers
2024-01-31,48.2,38.5,0.85,95,11.8,Rainy
2024-02-01,39.7,34.7,0.0,14,13.8,Sunny
2024-02-02,54.5,39.8,0.0,1,15.1,Overcast
2024-02-03,74.8,42.0,0.1,20,11.5,Drizzle
2024-02-04,62.7,39.4,0.0,13,13.6,Sunny
2024-02-05,69.5,32.1,0.0,12,7.7,Sunny
2024-02-06,62.1,32.2,0.12,24,13.3,Rain Showers
2024-02-07,65.9,39.1,0.0,2,13.8,Sunny
2024-02-08,47.8,40.6,0.0,10,13.7,Overcast
2024-02-09,56.8,37.1,0.0,4,15.4,Partly Cloudy
2024-02-10,57.0,29.1,0.0,5,5.7,Overcast
2024-02-11,55.3,36.4,0.0,0,13.2,Overcast
2024-02-12,55.5,34.6,0.09,18,4.0,Drizzle
2024-02-13,55.1,42.5,0.0,1,10.0,Sunny
2024-02-14,57.4,31.3,0.0,6,14.2,Partly Cloudy
2024-02-15,64.4,41.5,0.0,12,9.2,Overcast
2024-02-16,48.7,39.5,0.15,30,11.2,Rain Showers
2024-02-17,54.1,46.4,0.05,10,9.0,Drizzle
2024-02-18,54.1,40.0,0.11,22,5.0,Rain Showers
2024-02-19,60.0,34.3,0.0,5,13.3,Partly Cloudy
2024-02-20,57.3,33.7,0.0,0,4.9,Partly Cloudy
2024-02-21,58.3,30.5,0.0,9,5.0,Sunny
2024-02-22,51.6,45.3,0.05,10,12.0,Drizzle
